Review ID,Run,Valid,Topic,Sentiment,Errors
1,1,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null; Price: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
1,2,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null; Price: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
1,3,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null; Price: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
2,1,True,(parse failed),,
2,2,True,(parse failed),,
2,3,True,(parse failed),,
3,1,True,(parse failed),,
3,2,True,(parse failed),,
3,3,True,(parse failed),,
4,1,True,(parse failed),,
4,2,True,(parse failed),,
4,3,True,(parse failed),,
5,1,False,(parse failed),,'Staff' is a required property
5,2,False,(parse failed),,'Staff' is a required property
5,3,False,(parse failed),,'Staff' is a required property
6,1,False,(parse failed),,"Staff: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null"
6,2,False,(parse failed),,"Staff: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null"
6,3,False,(parse failed),,"Staff: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null"
7,1,True,(parse failed),,
7,2,True,(parse failed),,
7,3,True,(parse failed),,
8,1,True,(parse failed),,
8,2,True,(parse failed),,
8,3,True,(parse failed),,
9,1,True,(parse failed),,
9,2,True,(parse failed),,
9,3,True,(parse failed),,
10,1,False,(parse failed),,'Staff' is a required property; 'Food' is a required property; 'Facility' is a required property; 'Check-in' is a required property; 'Check-out' is a required property; 'Off' is a required property; 'Booking-issue' is a required property; 'Taxi-issue' is a required property
10,2,False,(parse failed),,'Staff' is a required property; 'Food' is a required property; 'Facility' is a required property; 'Check-in' is a required property; 'Check-out' is a required property; 'Off' is a required property; 'Booking-issue' is a required property; 'Taxi-issue' is a required property
10,3,False,(parse failed),,'Staff' is a required property; 'Food' is a required property; 'Facility' is a required property; 'Check-in' is a required property; 'Check-out' is a required property; 'Off' is a required property; 'Booking-issue' is a required property; 'Taxi-issue' is a required property
11,1,True,(parse failed),,
11,2,True,(parse failed),,
11,3,True,(parse failed),,
12,1,True,(parse failed),,
12,2,True,(parse failed),,
12,3,True,(parse failed),,
13,1,True,(parse failed),,
13,2,True,(parse failed),,
13,3,True,(parse failed),,
14,1,True,(parse failed),,
14,2,True,(parse failed),,
14,3,True,(parse failed),,
15,1,True,(parse failed),,
15,2,True,(parse failed),,
15,3,True,(parse failed),,
16,1,False,(parse failed),,'Staff' is a required property
16,2,False,(parse failed),,'Staff' is a required property
16,3,False,(parse failed),,'Staff' is a required property
17,1,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null"
17,2,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null"
17,3,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null"
18,1,True,(parse failed),,
18,2,True,(parse failed),,
18,3,True,(parse failed),,
19,1,True,(parse failed),,
19,2,True,(parse failed),,
19,3,True,(parse failed),,
20,1,True,(parse failed),,
20,2,True,(parse failed),,
20,3,True,(parse failed),,
21,1,True,(parse failed),,
21,2,True,(parse failed),,
21,3,True,(parse failed),,
22,1,True,(parse failed),,
22,2,True,(parse failed),,
22,3,True,(parse failed),,
23,1,True,(parse failed),,
23,2,True,(parse failed),,
23,3,True,(parse failed),,
24,1,True,(parse failed),,
24,2,True,(parse failed),,
24,3,True,(parse failed),,
25,1,True,(parse failed),,
25,2,True,(parse failed),,
25,3,True,(parse failed),,
26,1,True,(parse failed),,
26,2,True,(parse failed),,
26,3,True,(parse failed),,
27,1,True,(parse failed),,
27,2,True,(parse failed),,
27,3,True,(parse failed),,
28,1,True,(parse failed),,
28,2,True,(parse failed),,
28,3,True,(parse failed),,
29,1,True,(parse failed),,
29,2,True,(parse failed),,
29,3,True,(parse failed),,
30,1,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null"
30,2,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null"
30,3,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null"
31,1,True,(parse failed),,
31,2,True,(parse failed),,
31,3,True,(parse failed),,
32,1,True,(parse failed),,
32,2,True,(parse failed),,
32,3,True,(parse failed),,
33,1,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
33,2,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
33,3,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
34,1,True,(parse failed),,
34,2,True,(parse failed),,
34,3,True,(parse failed),,
35,1,True,(parse failed),,
35,2,True,(parse failed),,
35,3,True,(parse failed),,
36,1,True,(parse failed),,
36,2,True,(parse failed),,
36,3,True,(parse failed),,
37,1,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null"
37,2,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null"
37,3,False,(parse failed),,"Location: label must be 'Positive', 'Negative', or null"
38,1,True,(parse failed),,
38,2,True,(parse failed),,
38,3,True,(parse failed),,
39,1,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null; Food: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
39,2,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null; Food: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
39,3,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null; Food: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
40,1,False,(parse failed),,'Room' is a required property
40,2,False,(parse failed),,'Room' is a required property
40,3,False,(parse failed),,'Room' is a required property
41,1,True,(parse failed),,
41,2,True,(parse failed),,
41,3,True,(parse failed),,
42,1,True,(parse failed),,
42,2,True,(parse failed),,
42,3,True,(parse failed),,
43,1,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null; Food: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
43,2,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null; Food: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
43,3,False,(parse failed),,"Room: label must be 'Positive', 'Negative', or null; Location: label must be 'Positive', 'Negative', or null; Food: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
44,1,False,(parse failed),,'Room' is a required property
44,2,False,(parse failed),,'Room' is a required property
44,3,False,(parse failed),,'Room' is a required property
45,1,False,(parse failed),,"Staff: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
45,2,False,(parse failed),,"Staff: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
45,3,False,(parse failed),,"Staff: label must be 'Positive', 'Negative', or null; Facility: label must be 'Positive', 'Negative', or null; Check-in: label must be 'Positive', 'Negative', or null; Check-out: label must be 'Positive', 'Negative', or null; Off: label must be 'Positive', 'Negative', or null; Booking-issue: label must be 'Positive', 'Negative', or null; Taxi-issue: label must be 'Positive', 'Negative', or null"
46,1,True,(parse failed),,
46,2,True,(parse failed),,
46,3,True,(parse failed),,
47,1,False,(parse failed),,'Room' is a required property; 'Location' is a required property; 'Food' is a required property; 'Facility' is a required property; 'Check-in' is a required property; 'Check-out' is a required property; 'Off' is a required property; 'Booking-issue' is a required property
47,2,False,(parse failed),,'Room' is a required property; 'Location' is a required property; 'Food' is a required property; 'Facility' is a required property; 'Check-in' is a required property; 'Check-out' is a required property; 'Off' is a required property; 'Booking-issue' is a required property
47,3,False,(parse failed),,'Room' is a required property; 'Location' is a required property; 'Food' is a required property; 'Facility' is a required property; 'Check-in' is a required property; 'Check-out' is a required property; 'Off' is a required property; 'Booking-issue' is a required property
48,1,True,(parse failed),,
48,2,True,(parse failed),,
48,3,True,(parse failed),,
