Review ID,Run,Valid,Topic,Text Span,Sentiment,Errors
1,1,False,Room,"New, comfortable apartments.",Positive,
1,1,False,Room,close to the airport.,Positive,
1,1,False,Room,to very clean beach.,Positive,
1,1,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,1,False,Food,Tasty food on the first floor,Positive,
1,1,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,1,False,Location,close to the airport.,Positive,
1,1,False,Location,to very clean beach.,Positive,
1,1,False,Off,Nothing at all.,,
1,1,False,Room,"New, comfortable apartments.",Positive,
1,1,False,Room,close to the airport.,Positive,
1,1,False,Room,to very clean beach.,Positive,
1,1,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,1,False,Food,Tasty food on the first floor,Positive,
1,1,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,1,False,Location,close to the airport.,Positive,
1,1,False,Location,to very clean beach.,Positive,
1,1,False,Off,Nothing at all.,,
1,2,False,Room,"New, comfortable apartments.",Positive,
1,2,False,Room,close to the airport.,Positive,
1,2,False,Room,to very clean beach.,Positive,
1,2,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,2,False,Food,Tasty food on the first floor,Positive,
1,2,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,2,False,Location,close to the airport.,Positive,
1,2,False,Location,to very clean beach.,Positive,
1,2,False,Off,Nothing at all.,,
1,2,False,Room,"New, comfortable apartments.",Positive,
1,2,False,Room,close to the airport.,Positive,
1,2,False,Room,to very clean beach.,Positive,
1,2,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,2,False,Food,Tasty food on the first floor,Positive,
1,2,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,2,False,Location,close to the airport.,Positive,
1,2,False,Location,to very clean beach.,Positive,
1,2,False,Off,Nothing at all.,,
1,3,False,Room,"New, comfortable apartments.",Positive,
1,3,False,Room,close to the airport.,Positive,
1,3,False,Room,to very clean beach.,Positive,
1,3,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,3,False,Food,Tasty food on the first floor,Positive,
1,3,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,3,False,Location,close to the airport.,Positive,
1,3,False,Location,to very clean beach.,Positive,
1,3,False,Off,Nothing at all.,,
1,3,False,Room,"New, comfortable apartments.",Positive,
1,3,False,Room,close to the airport.,Positive,
1,3,False,Room,to very clean beach.,Positive,
1,3,False,Staff,Staff is extremely helpful and easy to communicate with ,Positive,
1,3,False,Food,Tasty food on the first floor,Positive,
1,3,False,Food,comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday,Positive,
1,3,False,Location,close to the airport.,Positive,
1,3,False,Location,to very clean beach.,Positive,
1,3,False,Off,Nothing at all.,,
